County,Population_2020,LandArea_SqMiles,Latitude,Longitude,Population_Density_PerSqMile
Adams,20654,645.6,43.97,-89.77,31.99
Ashland,16027,1045.0,46.31,-90.68,15.34
Barron,46711,862.8,45.42,-91.85,54.14
Bayfield,16220,1460.5,46.63,-91.18,11.11
Brown,268740,529.2,44.48,-88.0,507.82
Buffalo,13317,671.5,44.25,-91.75,19.83
Burnett,16526,820.3,45.86,-92.38,20.15
Calumet,52442,318.2,44.07,-88.23,164.81
Chippewa,66297,1008.4,45.08,-91.28,65.74
Clark,34659,1209.8,44.73,-90.61,28.65
Columbia,58490,765.5,43.47,-89.33,76.41
Crawford,16113,570.7,43.22,-90.92,28.23
Dane,561504,1197.2,43.07,-89.4,469.01
Dodge,89396,875.6,43.42,-88.7,102.1
Door,30066,482.7,45.03,-87.23,62.29
Douglas,44295,1302.9,46.44,-91.91,34.0
Dunn,45440,850.1,44.95,-91.9,53.45
Eau Claire,105710,637.9,44.73,-91.29,165.72
Florence,4558,487.6,45.85,-88.4,9.35
Fond du Lac,104154,719.6,43.77,-88.49,144.74
Forest,9179,1014.1,45.66,-88.67,9.05
Grant,51938,1146.8,42.86,-90.71,45.29
Green,37093,583.9,42.68,-89.6,63.53
Green Lake,19018,349.4,43.83,-88.99,54.43
Iowa,23709,762.6,43.0,-90.13,31.09
Iron,6137,757.3,46.31,-90.26,8.1
Jackson,21145,986.5,44.32,-90.91,21.43
Jefferson,84900,556.5,43.02,-88.78,152.56
Juneau,26718,766.9,43.92,-90.11,34.84
Kenosha,169151,271.9,42.58,-87.91,622.11
Kewaunee,20563,342.5,44.46,-87.68,60.04
La Crosse,120784,451.7,43.9,-91.1,267.4
Lafayette,16611,633.6,42.66,-90.14,26.22
Langlade,19491,870.7,45.22,-89.15,22.39
Lincoln,28415,878.7,45.34,-89.73,32.34
Manitowoc,81359,589.1,44.1,-87.67,138.11
Marathon,138013,1544.9,44.9,-89.76,89.33
Marinette,41872,1399.4,45.34,-87.99,29.92
Marquette,15592,455.4,43.82,-89.4,34.24
Menominee,4255,357.6,45.0,-88.7,11.9
Milwaukee,939489,241.4,43.04,-87.96,3891.84
Monroe,46273,900.8,43.94,-90.62,51.37
Oconto,38965,997.7,44.99,-88.08,39.05
Oneida,37845,1113.0,45.7,-89.52,34.0
Outagamie,190705,637.5,44.41,-88.41,299.15
Ozaukee,91503,233.1,43.35,-87.95,392.55
Pepin,7318,231.9,44.58,-92.0,31.56
Pierce,42212,573.7,44.72,-92.42,73.58
Polk,44977,913.9,45.46,-92.44,49.21
Portage,70377,800.7,44.48,-89.5,87.89
Price,14054,1253.3,45.68,-90.36,11.21
Racine,197727,332.5,42.75,-88.06,594.67
Richland,17304,586.2,43.38,-90.43,29.52
Rock,163687,718.1,42.67,-89.07,227.94
Rusk,14188,913.0,45.48,-91.13,15.54
Sauk,65763,830.9,43.43,-89.95,79.15
Sawyer,18074,1257.3,45.88,-91.14,14.38
Shawano,40881,893.1,44.79,-88.77,45.77
Sheboygan,118034,513.3,43.72,-87.95,229.95
St. Croix,93536,722.3,45.03,-92.45,129.5
Taylor,19913,974.8,45.21,-90.5,20.43
Trempealeau,30760,732.9,44.3,-91.36,41.97
Vernon,30714,791.6,43.59,-90.83,38.8
Vilas,23047,856.6,46.05,-89.51,26.91
Walworth,106478,555.1,42.67,-88.54,191.82
Washburn,16623,797.1,45.9,-91.79,20.85
Washington,136761,430.7,43.37,-88.23,317.53
Waukesha,406978,549.6,43.02,-88.3,740.5
Waupaca,51812,747.6,44.47,-88.96,69.3
Waushara,24520,626.1,44.11,-89.24,39.16
Winnebago,171730,434.4,44.07,-88.65,395.33
Wood,74207,793.1,44.46,-90.04,93.57
